node_id,layer,module,node_kind,index,token_position_role,published_label,source_key,importance
0.attn.resid_delta:698,0,attn,resid_delta,698,,,0.attn.resid_delta,0.2558102458715439
0.attn.resid_delta:1647,0,attn,resid_delta,1647,,,0.attn.resid_delta,2.268533448378245
0.mlp.act_in:176,0,mlp,act_in,176,,,0.mlp.act_in,0.24101957927147546
0.mlp.act_in:765,0,mlp,act_in,765,,,0.mlp.act_in,0.4297839278976123
0.mlp.act_in:1141,0,mlp,act_in,1141,,,0.mlp.act_in,0.22893465931216875
0.mlp.act_in:1490,0,mlp,act_in,1490,,,0.mlp.act_in,0.22878703102469444
0.mlp.act_in:1646,0,mlp,act_in,1646,,,0.mlp.act_in,0.24640327940384546
0.mlp.post_act:2719,0,mlp,post_act,2719,,,0.mlp.post_act,0.2326779713233312
0.mlp.post_act:4016,0,mlp,post_act,4016,,,0.mlp.post_act,0.6278211772441864
0.mlp.post_act:4607,0,mlp,post_act,4607,,,0.mlp.post_act,0.24674532686670622
0.mlp.post_act:5116,0,mlp,post_act,5116,,,0.mlp.post_act,0.2604629124204318
0.mlp.post_act:5553,0,mlp,post_act,5553,,,0.mlp.post_act,0.23266587282220522
0.mlp.post_act:6416,0,mlp,post_act,6416,,,0.mlp.post_act,0.22830702861150107
0.mlp.post_act:7275,0,mlp,post_act,7275,,,0.mlp.post_act,0.241202342013518
0.mlp.resid_delta:124,0,mlp,resid_delta,124,,,0.mlp.resid_delta,0.6530202130476633
0.mlp.resid_delta:1675,0,mlp,resid_delta,1675,,,0.mlp.resid_delta,1.0347491006056468
1.attn.act_in:124,1,attn,act_in,124,,,1.attn.act_in,0.240238469094038
1.attn.act_in:399,1,attn,act_in,399,,,1.attn.act_in,0.22610027839740118
1.attn.act_in:707,1,attn,act_in,707,,,1.attn.act_in,0.26544156422217685
1.attn.act_in:1647,1,attn,act_in,1647,,,1.attn.act_in,2.3387736082077026
1.attn.act_in:1951,1,attn,act_in,1951,,,1.attn.act_in,0.2335048740108808
1.attn.q:994,1,attn,q,994,,,1.attn.q,0.22960479805866876
1.attn.q:1521,1,attn,q,1521,,,1.attn.q,0.23159912725289664
1.attn.k:994,1,attn,k,994,,,1.attn.k,0.22960479805866876
1.attn.k:1521,1,attn,k,1521,,,1.attn.k,0.23159912725289664
1.attn.v:813,1,attn,v,813,,,1.attn.v,0.5321977237860361
1.attn.v:1007,1,attn,v,1007,,,1.attn.v,0.23468027263879776
1.attn.v:1183,1,attn,v,1183,,,1.attn.v,0.2434456596771876
1.attn.v:1286,1,attn,v,1286,,,1.attn.v,0.23155691598852476
1.attn.v:1521,1,attn,v,1521,,,1.attn.v,0.23350886007150015
1.attn.v:1731,1,attn,v,1731,,,1.attn.v,0.23105827470620474
1.attn.v:1735,1,attn,v,1735,,,1.attn.v,0.23044892524679503
1.attn.v:1737,1,attn,v,1737,,,1.attn.v,0.22653832038243613
